NOE, nama lengkap ku terdiri dari sebuah nilai atau variabel yang tidak valid (NULL), mendatar 1
MIT, nama kampus, mendatar 3
ARZ, Siapa sosok kakak dari laksamana perang muda yang punya kekuatan api paling mematikan dan dikenal sebagai ahli strategi ulung sejak remaja?, mendatar 4
BIL, Setelah bayar selalu minta kertas, mendatar 6
SSS, Tier Paling Atas, mendatar 8
GND, lawannya VCC, mendatar 9
RAR, Mau dibayar ataupun tidak aku ini tetap menjalankan tugasku dengan baik, mendatar 11
ALD, x-linked adrenoleukodystrophy (without x), mendatar 13
TIN, tempat menyimpan makanan, mendatar 15
UZY, SMG, mendatar 16
VAL, jatuh, mendatar 17
EKA, bahasa sansekerta satu, menurun 2
MHZ, satuan frekuensi, menurun 3
REL, kereta berjalan diatas, menurun 5
ION, ada di air biasanya, menurun 7
SHA, saha atuh, menurun 8
DAN, salah satu logic gate dalam bahasa indo, menurun 10
RDJ, singkatan bahasa JAWA tidak diajak tapi salah satu J diganti D, menurun 11
RYU, Hewan mitologi, menurun 12
SYW, salah satu dari tiga dewa utama (Trimurti) dalam agama Hindu bersama dengan Brahma dan Wisnu, menurun 14
TRA, sebuah selogan sebuah lab, menurun 15
